Genes	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-A4_1_8446.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-B4_1_8447.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-C4_1_8449.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-D4_1_8455.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-A1_1_8441.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-B1_1_8442.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-C1_1_8452.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-D1_1_8456.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-A7_1_8453.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-B7_1_8454.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-C7_1_8448.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-D7_1_8451.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-A10_1_8443.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-B10_1_8444.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-C10_1_8445.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-D10_1_8450.d
A2M	7754.18	5620.35	5892.83	442.979	2664.31		5045.82	3736.57	18646.6	22328.9	18685.1	23569.7	9768.36	11520.6	10173.4	9827.23
A2ML1	32035.8	20263.6	41873.4	8141.09	36518.1	19481.1	40409.8	23544.1	36757.6	20058.3	59819.6	56968.8	199034	21316.2	16958	41891.5
AAAS	12558.3	12979.1	13511.7	13954.7	19924.7	20913.5	24128.9	25115.5	13396.5	13024.5	13689.4	17021.7	16002.3	15891.9	15166.7	16772.5
AACS	8407.57	10065.8	7917.03	9757	23102.9	30278.9	25452.5	23954.9	9632.65	10106.3	9082.55	10898	6321.65	4061.36	3358.25	5882.85
AAGAB	13897.2	12540.9	17038.5		13519.9	10483.2	11908	10579.7	14976.2	11205.1	13990.6	15503.7	10078.8	6625.88	7178.26	13601.5
AAK1	27327.3	29611.8	26066.6	25032.5	10807.8	9751.9	10443.4	11729.8	18608.6	17913.5	18199.8	20070.4	18253.2	16132.4	16759.2	17834.6
AAMDC	15897.3	21032.5	13858.7	14751.7	9834.38	12450.3	10858.9	14375.8	12709	14642.9	15100.8	14566.2	8905.22	7213.69	8478.36	8124.69
AAMP	8028.38	7494.03	7217.09	8805.97	5880.47	8378.02	5882.16	4653.01	12953.3	13257.4	13620.4	13662.8	11915	13905.8	11527.3	11202.5
AARS1	108485	122904	113277	125463	109298	132057	116336	116314	83432.8	94807.5	65088.9	78021	98474.8	128244	109742	100712
AARS2	14039.7	12868.3	12342.6	11546.9	13308.4	12797.7	13416.1	12789.5	18326.8	16867.1	15620.1	20393.9	21529.5	16379.8	17207.4	19095.6
AARSD1	42505.6	46578.2	43035.6	41355.7	27923.8	25891.9	31055.7	25066.3	24552	21688.4	26626.1	27724.4	31674.1	22047.3	20796.9	27953.2
AASDHPPT	20366.3	21704.4	18469	19936.2	23921.3	26885.4	17601.8	17149.4	22523.9	21468.8	17818.2	21008.1	21264.8	22832.7	20312.6	19741.1
AASS	6077.61	5276.68	7008.41	4027.34	14756.4	12683.2	15827.7	13448.2			9463.14					
