Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-A1_1_12125.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-B1_1_12126.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-C1_1_12127.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-D1_1_12128.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-E1_1_12129.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-F1_1_12130.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-G1_1_12131.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-H1_1_12135.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-A5_1_12136.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-B5_1_12137.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-C5_1_12138.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-D5_1_12139.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-E5_1_12140.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-F5_1_12141.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-G5_1_12142.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-H5_1_12143.d
A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	1	1	4806.42	5577.88	6141.95	8408.36	4869	7057	7176.14	7525.82	7545.87	6738.78	6326.52	7315.34	7166.34	6153.01	6025.44	7026.81
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	63596.8	49265.1	56924.8	59609.4	52070.3	58304.3	59156.7	55619.1	58961.1	57087.9	62329.6	56189.6	53491.3	58648	60611	61512.9
A0A385XJ53;P0CF07;P0CF11;P0CF12	INSA1_ECOLI;INSA5_ECOLI;INSA6_ECOLI;INSA9_ECOLI	insA1;insA5;insA6;insA9	Insertion element IS1 9 protein InsA	2	0		10247.3		12832		12679	8454.59		26645.6	31601.5	31278.1	41826.1	33212.3	32393.2	23247.9	27420.7
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	45	45	223090	212662	219143	219165	211664	213729	218118	205177	223578	220855	233212	237025	219213	222618	223552	227988
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	15	15	76743.4	79936.1	76594.6	72014.2	80145.5	72079.7	75662.9	73989.6	69608.7	70681.9	73738.8	69626.8	78212.2	72265.1	71831.2	71685.1
A0JNW5	BLT3B_HUMAN	BLTP3B	Bridge-like lipid transfer protein family member 3B	5	5	17728.6	21240.9	20342.5	19595.7	21064.7	22442.9	19297.3	19595.5	19813.6	19138.4	21476	22287.5	18185.3	21187	22342.4	24016.6
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	32	32	51634.9	51016.8	52929.5	50505.8	50071.2	50759.5	50692.7	50454.6	49532.5	48868.4	47272.8	48770.8	51256.6	49875.8	50414.2	48839.6
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	2	2	15523.8	20701.9	16375.5	14695.3	13491	14540.1	17450.1	14538.7	14419.4	14718.5	16637.7	13638.7	16428.6	16167.4	15589.1	14796.5
A1L020	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A	2	2	6042.7	7273.05	7606.42	4583.09	6987.39	8984.46	6669.81	7554.21	8686.66	6566.8	5143.7	6690.67	5801.93	6072.63		7713.04
A1L0T0	HACL2_HUMAN	HACL2	2-hydroxyacyl-CoA lyase 2	2	2		822.636	1084.53	909.703	1264.93	1215.54	903.342	952.286	1181.78	1072.83	1502.14	1643.99		1421.22	789.465	1002.33
