Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-A2_1_12107.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-B2_1_12108.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-C2_1_12109.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-D2_1_12110.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-E2_1_12111.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-F2_1_12112.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-G2_1_12113.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-H2_1_12114.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-A6_1_12115.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-B6_1_12116.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-C6_1_12117.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-D6_1_12118.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-E6_1_12119.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-F6_1_12120.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-G6_1_12121.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-H6_1_12122.d
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	6	0	41782.4	39324	37323.6	41390.9	41825.4	38966.6	37613.3	36301.1	36627.9	36787.8	35193.4	38782.6	40253.2	37223.5	36951.8	39063.6
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	9077.51	14990.8	10293	8877.56	8839.73	9894.61	10826.4	12050.3	10793.1	6445.62	11641.8	12775.6	10248.1	12566.8	9967.86	8955.12
A0A140N1P7	A0A140N1P7_ECOBD	ECBD_0006	Cof-like hydrolase	8	8	14355.3	12038.4	14025.7	11911.8	15098.7	15062.9	14955.4	13842.4	39071.5	38181.8	40023.5	39099	37978.1	39176.8	37782.2	37592.1
A0A140N1Q5	A0A140N1Q5_ECOBD	ibpA	Small heat shock protein IbpA	3	3	10162.5			7017.19	6148.23				14285.2	11342.7	10332	12094.5	11704.1	11687.6	12122.9	11400.9
A0A140N1Y4	A0A140N1Y4_ECOBD	tdh	L-threonine 3-dehydrogenase	2	2	9687.11	6024.74	6064.08	8780.36	7238.94	4045.22	5828.49	6841.1	19836	16294.9	17398.3	14669.9	15602.3	19366.3	19477.8	22054.1
A0A140N1Z5	A0A140N1Z5_ECOBD	trmL	tRNA (cytidine(34)-2'-O)-methyltransferase	2	2	4355.63			6254.51			3133.55	4017.29	8998.14	8230.83	6837.24	8013.7	7587.55	6972.9	9152.31	5060.42
A0A140N201	A0A140N201_ECOBD	ECBD_0129	PTS system mannitol-specific EIICBA component	6	6	2526.99	2156.83	2887.83	2768.18	1345.2	2489.91	2643.3		5404.43	5585.72	5234.16	5932.5	5417.84	5670.52	6425.47	5794.61
A0A140N231	A0A140N231_ECOBD	ECBD_0160	Transcriptional regulator, IclR family	1	1											1592.44	1842.5		1787.79	2133.81	
A0A140N277	A0A140N277_ECOBD	dctA	C4-dicarboxylate transport protein	2	2								414.235			521.338	746.045				1268.16
A0A140N2B1	A0A140N2B1_ECOBD	ECBD_0241	Glutathione-disulfide reductase	9	9	3530.67	3440.39	2950.03	2789.64	3533.45	3484.23	2016.87	1347.13	9062.4	7678.02	7861.98	7615.09	6747.71	7224.75	7571.96	7706.05
