Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A50_1 Spectral Count	A50_2 Spectral Count	A50_3 Spectral Count	A50_4 Spectral Count	A50_5 Spectral Count	A50_6 Spectral Count	A50_7 Spectral Count	A50_8 Spectral Count	B50_1 Spectral Count	B50_2 Spectral Count	B50_3 Spectral Count	B50_4 Spectral Count	B50_5 Spectral Count	B50_6 Spectral Count	B50_7 Spectral Count	B50_8 Spectral Count	A50_1 Unique Spectral Count	A50_2 Unique Spectral Count	A50_3 Unique Spectral Count	A50_4 Unique Spectral Count	A50_5 Unique Spectral Count	A50_6 Unique Spectral Count	A50_7 Unique Spectral Count	A50_8 Unique Spectral Count	B50_1 Unique Spectral Count	B50_2 Unique Spectral Count	B50_3 Unique Spectral Count	B50_4 Unique Spectral Count	B50_5 Unique Spectral Count	B50_6 Unique Spectral Count	B50_7 Unique Spectral Count	B50_8 Unique Spectral Count	A50_1 Total Spectral Count	A50_2 Total Spectral Count	A50_3 Total Spectral Count	A50_4 Total Spectral Count	A50_5 Total Spectral Count	A50_6 Total Spectral Count	A50_7 Total Spectral Count	A50_8 Total Spectral Count	B50_1 Total Spectral Count	B50_2 Total Spectral Count	B50_3 Total Spectral Count	B50_4 Total Spectral Count	B50_5 Total Spectral Count	B50_6 Total Spectral Count	B50_7 Total Spectral Count	B50_8 Total Spectral Count	A50_1 Intensity	A50_2 Intensity	A50_3 Intensity	A50_4 Intensity	A50_5 Intensity	A50_6 Intensity	A50_7 Intensity	A50_8 Intensity	B50_1 Intensity	B50_2 Intensity	B50_3 Intensity	B50_4 Intensity	B50_5 Intensity	B50_6 Intensity	B50_7 Intensity	B50_8 Intensity	A50_1 MaxLFQ Intensity	A50_2 MaxLFQ Intensity	A50_3 MaxLFQ Intensity	A50_4 MaxLFQ Intensity	A50_5 MaxLFQ Intensity	A50_6 MaxLFQ Intensity	A50_7 MaxLFQ Intensity	A50_8 MaxLFQ Intensity	B50_1 MaxLFQ Intensity	B50_2 MaxLFQ Intensity	B50_3 MaxLFQ Intensity	B50_4 MaxLFQ Intensity	B50_5 MaxLFQ Intensity	B50_6 MaxLFQ Intensity	B50_7 MaxLFQ Intensity	B50_8 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A1B0GUS4|UB2L5_HUMAN	A0A1B0GUS4	UB2L5_HUMAN	UBE2L5	154	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 L5	0.9999	0.9986	5	2	2	48	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	1	3	0	2	2	3	3	3	4	5	5	3	2	3	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.9987	3	4	4	4	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	7332.995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5A3E0|POTEF_HUMAN	A5A3E0	POTEF_HUMAN	POTEF	1075	Homo sapiens	1:Experimental evidence at protein level	POTE ankyrin domain family member F	1.0	0.999	8	40	40	243	2	3	3	5	3	5	3	5	0	3	2	0	0	1	3	2	2	3	3	5	3	5	3	5	0	3	2	0	0	1	3	2	12	14	9	12	14	19	16	18	15	19	15	16	6	21	20	17	0.0	0.0	3728.2922	0.0	1372.2892	0.0	1364.3296	3547.009	0.0	2151.052	1474.6945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3728.2922	0.0	1372.2892	0.0	1364.3296	3547.009	0.0	2151.052	1474.6945	0.0	0.0	0.0	0.0	0.0	
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	0.8869	0.9956	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NHZ5|LR14B_HUMAN	A6NHZ5	LR14B_HUMAN	LRRC14B	514	Homo sapiens	1:Experimental evidence at protein level	Leucine-rich repeat-containing protein 14B	0.8722	0.995	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NIZ1|RP1BL_HUMAN	A6NIZ1	RP1BL_HUMAN	RAP1BL	184	Homo sapiens	1:Experimental evidence at protein level	Ras-related protein Rap-1b-like protein	1.0	0.999	3	46	0	46	3	3	4	3	3	2	3	5	2	3	2	3	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	3	3	2	3	5	2	3	2	3	2	2	3	3	9387.061	10548.148	10117.459	11191.17	10993.328	9788.725	8601.5625	11009.165	7807.14	7198.122	9395.683	7151.9814	9911.744	3731.2698	10331.566	7879.681	5513.683	6085.9014	5969.2026	6327.9756	6463.913	5773.312	5056.8374	6427.5737	4592.8184	4216.0293	5253.3623	4141.937	5847.832	3749.6328	6080.621	4569.0024	sp|P61224|RAP1B_HUMAN, sp|P62834|RAP1A_HUMAN
sp|A6NJ88|SGE2P_HUMAN	A6NJ88	SGE2P_HUMAN	SAGE2P	616	Homo sapiens	5:Protein uncertain	Putative SAGE1-like protein	0.9133	0.9967	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.0	0.999	6	114	0	114	5	8	5	7	6	7	6	7	4	5	9	7	11	9	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	5	7	6	7	6	7	4	5	9	7	11	9	10	8	36899.3	43049.52	38716.016	36714.68	42865.152	41795.812	35393.613	45852.8	37326.68	38641.023	40093.664	37937.574	39972.57	31354.408	40075.055	35368.77	10022.665	11627.711	10129.568	10917.189	10668.635	9977.904	9890.678	11425.284	10674.185	9739.293	9960.199	10658.612	11387.361	8683.514	10173.384	9399.852	sp|Q13765|NACA_HUMAN
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens	1:Experimental evidence at protein level	Alkyldihydroxyacetonephosphate synthase, peroxisomal	0.9712	0.999	1	7	7	7	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	1.0	0.999	6	64	11	64	2	4	4	1	4	1	5	5	4	3	7	7	3	6	5	3	0	1	2	0	2	0	2	1	0	0	0	0	0	1	2	0	2	4	4	1	4	1	5	5	4	3	7	7	3	6	5	3	15059.484	19482.225	5016.762	14685.754	18524.877	14203.828	21444.098	6886.4775	10708.443	18852.938	10771.422	21307.17	19952.693	19018.71	11323.553	16824.525	7838.161	7513.569	6386.9824	7544.193	8313.26	7423.866	8371.171	5988.1284	6958.686	6655.359	7640.4893	7162.4307	7833.489	7728.6196	7346.2524	6530.724	
