Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-A4_1_12071.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-B4_1_12072.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-C4_1_12073.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-D4_1_12074.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-E4_1_12075.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-F4_1_12076.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-G4_1_12077.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-H4_1_12078.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-A8_1_12079.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-B8_1_12080.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-C8_1_12081.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-D8_1_12082.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-E8_1_12083.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-F8_1_12084.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-G8_1_12085.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-H8_1_12086.d
A0A024R1R8;Q9Y2S6	TMA7B_HUMAN;TMA7_HUMAN	TMA7;TMA7B	Translation machinery-associated protein 7B	1	0		231.511	337.072		443.223		727.852	411.494	267.975	354.076	361.511		212.917	395.16	560.613	
A0A024RBG1;Q8NFP7;Q96G61;Q9NZJ9	NUD10_HUMAN;NUD11_HUMAN;NUD4B_HUMAN;NUDT4_HUMAN	NUDT10;NUDT11;NUDT4;NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	1	0						673.84	822.846		609.871	679.796	750.172	796.521				
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	5	5	983.765	880.493	821.265		1053.81	849.48	919.329	994.374	929.15	712.416	762.399	916.755	1076.37	946.666	1132.42	773.218
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;P0DSO3;P0DTW1;Q13069;Q13070;Q4V321;Q4V326	GAG13_HUMAN;GAG2E_HUMAN;GAGE1_HUMAN;GAGE4_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN;GG12J_HUMAN	GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE13;GAGE2E;GAGE4;GAGE5;GAGE6;GAGE7	G antigen 12B/C/D/E	1	0	3415.14	4441.53	3992	3394.52	2660.94	2078.77	2460.55	3459.17	2923.55	3176.91	3580.24	4451.63	4116.11	3731.5	4453.46	3585.34
A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	3	1	49189.6	60265.7	58291.5	54906.4	57802.9	67375.7	62306.2	57855.4	52838.7	51455.4	58121	57031.4	53745.5	69882	60652.5	60506.9
A6NEC2;P55786	PSAL_HUMAN;PSA_HUMAN	NPEPPS;NPEPPSL1	Puromycin-sensitive aminopeptidase-like protein	3	0	765.286		884.193	970.875	944.214	997.432		758.702	814.739	982.834	863.577	906.757	883.754	768.9	1056.63	1046.56
A6NHG4;P30046	DDTL_HUMAN;DOPD_HUMAN	DDT;DDTL	Putative D-dopachrome decarboxylase-like protein	1	0	1387.05	1160.37	1547.63	1792.91	633.142	1429.6	1529.64	1413.13	1642.88		1642.64	1443.95	1815.19	1339.64	1645.22	1118.58
A6NNS2	DRS7C_HUMAN	DHRS7C	Dehydrogenase/reductase SDR family member 7C	1	1							4920.95		5955.13		2053.2					
B5ME19;Q99613	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein	6	0	1542.21	1063.55	1459.12	1673.69	1690.22	2156.83	1686.55	1316.57	1344.82	1171.58	1765.6	1407.42	1405.02	1344.14	1495.44	1620.67
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	6	5	11089.8	10429.9	10753.1	12560.5	10393.9	11181.1	10891.3	10133.9	10519.5	10149.3	11216.5	11721.7	10108.1	10455.5	11278	10037
G2XKQ0	SUMO5_HUMAN	SUMO1P1	Small ubiquitin-related modifier 5	1	0	1031.04		954.389		1509.09	1356.23		1325.56	1350.71				740.758		1422.88	913.922
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	2	2		1075.06	1107.82	1030.94	816.03	1059.67		760.676	927.126	894.67	1120.14	916.688	1336.25	940.522	777.77	895.664
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	6	6	1747.04	2352.01	2231.51	2011.81	1968.99	2609.1	2181.44	1694.82	2048.25	1920.32	2190.81	1999.08	2408.61	2084.03	2093.22	1924.44
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	2	2	1181.27	1209.98	1097.2			893.297				2017.64	1543.12	2066.19	2340.51	2050.19	1247.35	1606.96
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	2	2		943.995	454.177		719.58	806.906			434.088	452.739	756.843	608.912	421	469.472	581.562	
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	1	1	355.958	343.924	314.36	542.624		798.449		317.19			465.981			198.152	319.145	
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	1	1									1179.72			1211.92	689.69		539.882	
O00193	SMAP_HUMAN	SMAP	Small acidic protein	1	1	1107.91	1047.7	706.66	899.49	1358.09	1134.17	1096.25	1139.58	825.04	965.409	942.424	1194.24	1152.33	768.646	1116.17	1028.17
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	15	14	4826.21	4527.41	4235.81	4749.82	4042.76	5103.21	4979.02	5236.42	4341.86	4029.54	4256.12	4438.95	4047.92	4155.36	4211.14	3837.22
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	5	5	2221.29	1119.14	2109.58	1819.89	1540.18	2065.19	2300.91	1602.07	1864.42	2280.46	1805.72	1892.7	1546.89	1925.36	1996.04	1491.7
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	3	3	1080.88	1189.48	754.441	698.394	883.489	946.598	945.586	523.806	781.377	959.288	1135.27	824.914	1018.17	905.787	717.54	943.451
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	2	2	811.224	603.669	840.536	813.401	629.734	906.356	1071.34	1238.03	830.962	593.112	1019.28	916.368	1106.76	889.64	886.726	695.729
O00255	MEN1_HUMAN	MEN1	Menin	1	1			1120.72	217.158				1097.86				1284.25	742.26		770.396	847.343
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1	1	697.055		915.724		988.784	1028.45	1029.88	1842.45	1077.71	1844.11	1637.8	2091.42	1350.17	1131.76	1381.58	1047.65
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	2	2		651.377			262.294	251.449			612.745	900.686	569.892	878.406	919.113	1033.01	687.106	255.412
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	11	11	16726.5	14873.9	15806.6	16244.6	16077.1	18440.7	15491	16260.9	17060.3	15524.4	16206.8	15153	16213.1	15800.9	16230	16819.5
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	3	3	1295.71	1258.87	1280.87	1295.63	1337	1454.98	938.781	1516.23	1483.72	1567.4	1623.3	1218.06	1547.04	1594.35	1411.98	1360.99
O00410	IPO5_HUMAN	IPO5	Importin-5	6	5	3986.73	3475.96	3796.06	2875.39	3682.39	3211.77	3533.08	3170.23	2983.71	3430.98	3028.56	2630	3529.61	3434.59	3244.58	3704.79
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	2	2	1396.96	1658.5	1052.24	996.644	1448.09	864.005	1130.04	1557.14	1349.35	1533.56	1499.27	1183.27	1263.94	1448.97	1642.78	989.498
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	6	6	838.125	650.356	715.461	712.516	593.453	804.809	697.988	962.398	746.624	726.196	801.107	569.836	732.962	626.753	719.285	642.413
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	2	2	575.684			972.041	766.277	1047.31	1028.59		949.914	902.689		1243.71	938.791	840.172	1013.95	870.76
O00483	CXFA4_HUMAN	COXFA4	Cytochrome c oxidase subunit FA4	2	2	1047.18	1144.12	801.171	451.67	936.925	1014.72	753.466		921.277	917.043	590.069	669.811	840.452	1037.32	528.725	653.494
