Genes	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_AST_RAWdata\Normoxia_AST_50cell_S2-A4_1_8446.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_AST_RAWdata\Normoxia_AST_50cell_S2-B4_1_8447.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_AST_RAWdata\Normoxia_AST_50cell_S2-C4_1_8449.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_AST_RAWdata\Normoxia_AST_50cell_S2-D4_1_8455.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_GSC_RAWdata\Normoxia_GSC_50cell_S2-A1_1_8441.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_GSC_RAWdata\Normoxia_GSC_50cell_S2-B1_1_8442.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_GSC_RAWdata\Normoxia_GSC_50cell_S2-C1_1_8452.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_GSC_RAWdata\Normoxia_GSC_50cell_S2-D1_1_8456.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MAC_RAWdata\Normoxia_MAC_50cell_S2-A7_1_8453.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MAC_RAWdata\Normoxia_MAC_50cell_S2-B7_1_8454.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MAC_RAWdata\Normoxia_MAC_50cell_S2-C7_1_8448.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MAC_RAWdata\Normoxia_MAC_50cell_S2-D7_1_8451.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MIC_RAWdata\Normoxia_MIC_50cell_S2-A10_1_8443.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MIC_RAWdata\Normoxia_MIC_50cell_S2-B10_1_8444.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MIC_RAWdata\Normoxia_MIC_50cell_S2-C10_1_8445.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MIC_RAWdata\Normoxia_MIC_50cell_S2-D10_1_8450.d
A1BG	2	2	5550.82		4500.36						6953.48	5718.66	9182.69	7536.98		3171.71	2019.54	2223.38
A2M	26	26	3390.18	2432.59	2545.29		1221.12	989.024	1429.58		7614.32	9353.96	8734.71	9829.11	3781.95	5432.49	4516.13	4657.21
A2ML1	21	21	10018.8	6347.12	16358.5	3452.26	14124.6	6669.48	15223	8275.39	12764.5	7589.8	21535.6	19060.5	62112.8	6839.08	5748.75	13412
AAAS	7	7	6579.59	7577.16	7506.01	7064.53	12074.5	9974.78	11916	11626.4	8255.11	7408.87	8314.39	9153.36	8446.04	8361.54	8642.23	9394.46
AACS	8	8	3563.46	4112.22	4704.67	4305.16	9923.75	10953.1	8893.47	7137.64	3909.05	4837.19	3989.6	5259.72	2335.23	1877.35	1757.12	2127.01
AADAT	1	1	717.42	673.269	739.909	1108.42			857.44	567.571					1058.8			
AAGAB	2	2	2847.85	3943.37	3538.63	2659.98	2817.49	3103.83	2925.82	2883.18	4004.51	4205.48	3141.1	4483.68	2919.15	2317.77	2536.24	3376.79
AAK1	16	16	16331.6	17469.6	19641.6	15976.3	6406.59	6289.62	6411.09	6659.26	10692	12402.6	10268.1	12534.8	9331.83	8660.23	10297.3	10096.1
AAMDC	4	4	5167.72	6891.91	5621.44	6504.61	6186.11	4252.89	4025.56	3972.88	4325.36	4368.93	4778.99	4694.62	2497.24	2794.19	2525.78	2469.2
AAMP	3	3	2851.78	2885.91	3100.57	3106.11	2480.68	2355.41	1841.88	1643.45	4231.69	5297.37	4996.41	4758.37	4296.73	4115.07	4120.1	3573.92
AARS1	24	24	43685.6	46559.4	47064.5	47747.3	42312	49491.6	39253.1	42167.9	32385.7	38888	26734.4	32093.7	35553.3	46335.9	44657	40667.6
AARS2	18	18	5850.09	5689.88	5722.8	6154.8	6352.66	5564.27	5423.6	5409.63	8741.22	8201.56	7661.55	8966.87	8630.39	7727.83	8503.68	8453.92
AARSD1	8	8	20172.5	24206.8	23368.2	25008.7	15171.7	12313.6	13642.1	11926.8	13502.5	14768	17804.9	15574	17566.6	13032.5	12988.6	16870.8
AASDHPPT	6	6	8037.83	7063.01	7869.13	8298.93	9061.01	9284.16	7376.61	4652.08	9477.34	8955.09	7241.11	7983.15	7684.98	8796.11	8153.47	7993.26
AASS	8	8	2177.69	1855.47	2537.3	1160.46	4475.39	4571.8	3771.8	3485.91			1712.17		2432.88			
