Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A1_1 Spectral Count	A1_2 Spectral Count	A1_3 Spectral Count	A1_4 Spectral Count	A1_5 Spectral Count	A1_6 Spectral Count	A1_7 Spectral Count	A1_8 Spectral Count	B1_1 Spectral Count	B1_2 Spectral Count	B1_3 Spectral Count	B1_4 Spectral Count	B1_5 Spectral Count	B1_6 Spectral Count	B1_7 Spectral Count	B1_8 Spectral Count	A1_1 Unique Spectral Count	A1_2 Unique Spectral Count	A1_3 Unique Spectral Count	A1_4 Unique Spectral Count	A1_5 Unique Spectral Count	A1_6 Unique Spectral Count	A1_7 Unique Spectral Count	A1_8 Unique Spectral Count	B1_1 Unique Spectral Count	B1_2 Unique Spectral Count	B1_3 Unique Spectral Count	B1_4 Unique Spectral Count	B1_5 Unique Spectral Count	B1_6 Unique Spectral Count	B1_7 Unique Spectral Count	B1_8 Unique Spectral Count	A1_1 Total Spectral Count	A1_2 Total Spectral Count	A1_3 Total Spectral Count	A1_4 Total Spectral Count	A1_5 Total Spectral Count	A1_6 Total Spectral Count	A1_7 Total Spectral Count	A1_8 Total Spectral Count	B1_1 Total Spectral Count	B1_2 Total Spectral Count	B1_3 Total Spectral Count	B1_4 Total Spectral Count	B1_5 Total Spectral Count	B1_6 Total Spectral Count	B1_7 Total Spectral Count	B1_8 Total Spectral Count	A1_1 Intensity	A1_2 Intensity	A1_3 Intensity	A1_4 Intensity	A1_5 Intensity	A1_6 Intensity	A1_7 Intensity	A1_8 Intensity	B1_1 Intensity	B1_2 Intensity	B1_3 Intensity	B1_4 Intensity	B1_5 Intensity	B1_6 Intensity	B1_7 Intensity	B1_8 Intensity	A1_1 MaxLFQ Intensity	A1_2 MaxLFQ Intensity	A1_3 MaxLFQ Intensity	A1_4 MaxLFQ Intensity	A1_5 MaxLFQ Intensity	A1_6 MaxLFQ Intensity	A1_7 MaxLFQ Intensity	A1_8 MaxLFQ Intensity	B1_1 MaxLFQ Intensity	B1_2 MaxLFQ Intensity	B1_3 MaxLFQ Intensity	B1_4 MaxLFQ Intensity	B1_5 MaxLFQ Intensity	B1_6 MaxLFQ Intensity	B1_7 MaxLFQ Intensity	B1_8 MaxLFQ Intensity	Indistinguishable Proteins
contam_contam_contam_sp|O82803|SRPP_HEVBR	contam_contam_contam_sp|O82803|SRPP_HEVBR Small rubber particle protein OS=Hevea brasiliensis OX=3981 GN=SRPP PE=1 SV=1	contam_contam_contam_sp|O82803|SRPP_HEVBR Small rubber particle protein OS=Hevea brasiliensis OX=3981 GN=SRPP PE=1 SV=1		204			contam_contam_contam_sp|O82803|SRPP_HEVBR Small rubber particle protein OS=Hevea brasiliensis OX=3981 GN=SRPP PE=1 SV=1	1.0	0.999	3	73	73	73	6	5	5	5	6	6	5	4	2	4	6	2	7	4	3	3	6	5	5	5	6	6	5	4	2	4	6	2	7	4	3	3	6	5	5	5	6	6	5	4	2	4	6	2	7	4	3	3	270113.7	211610.05	234312.14	209084.05	206075.25	220010.75	213255.84	228666.73	80129.47	66153.14	105096.45	76484.28	128695.16	96081.67	71653.55	76733.49	136496.95	130949.25	143354.75	128325.69	132799.27	140456.47	137448.7	149582.83	74700.0	59881.48	120110.516	66183.625	158838.48	62877.848	79201.48	87567.49	
contam_contam_contam_sp|P00761|TRYP_PIG	contam_contam_contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa OX=9823 PE=1 SV=1	contam_contam_contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa OX=9823 PE=1 SV=1		231			contam_contam_contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa OX=9823 PE=1 SV=1	1.0	0.999	4	411	411	411	29	29	26	22	30	23	25	23	26	29	21	25	23	26	30	24	29	29	26	22	30	23	25	23	26	29	21	25	23	26	30	24	29	29	26	22	30	23	25	23	26	29	21	25	23	26	30	24	789905.06	873603.06	794956.25	783076.1	854598.94	830855.3	796054.0	823907.6	776605.8	847938.9	824437.94	857831.06	837782.4	801388.6	828048.1	834616.06	217240.0	238684.31	219758.36	218643.11	223310.78	223471.97	225266.69	234687.7	228379.34	239188.83	235262.6	241195.44	240018.7	232074.23	236720.45	238363.8	
contam_contam_contam_sp|P02666|CASB_BOVIN	contam_contam_contam_sp|P02666|CASB_BOVIN Beta-casein OS=Bos taurus OX=9913 GN=CSN2 PE=1 SV=2	contam_contam_contam_sp|P02666|CASB_BOVIN Beta-casein OS=Bos taurus OX=9913 GN=CSN2 PE=1 SV=2		224			contam_contam_contam_sp|P02666|CASB_BOVIN Beta-casein OS=Bos taurus OX=9913 GN=CSN2 PE=1 SV=2	0.9998	0.999	2	12	12	12	0	0	0	0	0	0	0	0	1	1	2	2	2	2	1	1	0	0	0	0	0	0	0	0	1	1	2	2	2	2	1	1	0	0	0	0	0	0	0	0	1	1	2	2	2	2	1	1	7509.1216	6398.2427	6448.152	6898.1045	6943.8354	5961.8784	7506.0625	7153.1445	18095.857	18625.496	17337.441	16535.445	29605.084	18162.799	18085.855	17318.998	7509.1216	6398.2427	6448.152	6898.1045	6943.8354	5961.8784	7506.0625	7153.1445	18095.857	18625.496	17337.441	16535.445	16738.48	18162.799	18085.855	17318.998	
contam_contam_contam_sp|P02769|ALBU_BOVIN	contam_contam_contam_sp|P02769|ALBU_BOVIN Albumin OS=Bos taurus OX=9913 GN=ALB PE=1 SV=4	contam_contam_contam_sp|P02769|ALBU_BOVIN Albumin OS=Bos taurus OX=9913 GN=ALB PE=1 SV=4		607			contam_contam_contam_sp|P02769|ALBU_BOVIN Albumin OS=Bos taurus OX=9913 GN=ALB PE=1 SV=4	1.0	0.999	36	713	641	713	42	42	51	37	48	38	41	44	44	44	43	58	40	46	45	50	38	36	46	33	44	35	38	40	39	40	40	52	35	41	41	43	42	42	51	37	48	38	41	44	44	44	43	58	40	46	45	50	655441.25	661097.4	656129.2	644418.6	653387.7	630856.0	615574.7	676378.8	647629.2	593557.56	665574.7	600170.0	582588.94	577347.4	634173.8	570554.25	40825.777	40401.023	40919.44	41338.81	40229.402	39668.418	39671.773	41750.21	41375.55	40273.59	40701.53	40669.035	39504.508	40903.7	41938.96	39415.723	
contam_contam_contam_sp|P15252|REF_HEVBR	contam_contam_contam_sp|P15252|REF_HEVBR Rubber elongation factor protein OS=Hevea brasiliensis OX=3981 PE=1 SV=2	contam_contam_contam_sp|P15252|REF_HEVBR Rubber elongation factor protein OS=Hevea brasiliensis OX=3981 PE=1 SV=2		138			contam_contam_contam_sp|P15252|REF_HEVBR Rubber elongation factor protein OS=Hevea brasiliensis OX=3981 PE=1 SV=2	0.9385	0.999	1	17	17	17	3	1	0	0	1	2	1	6	2	0	1	0	0	0	0	0	3	1	0	0	1	2	1	6	2	0	1	0	0	0	0	0	3	1	0	0	1	2	1	6	2	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2154.1719	2097.2476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2154.1719	2097.2476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_contam_contam_sp|P32503|GAG_SCVLA	contam_contam_contam_sp|P32503|GAG_SCVLA Major capsid protein OS=Saccharomyces cerevisiae virus L-A OX=11008 GN=gag PE=1 SV=1	contam_contam_contam_sp|P32503|GAG_SCVLA Major capsid protein OS=Saccharomyces cerevisiae virus L-A OX=11008 GN=gag PE=1 SV=1		680			contam_contam_contam_sp|P32503|GAG_SCVLA Major capsid protein OS=Saccharomyces cerevisiae virus L-A OX=11008 GN=gag PE=1 SV=1	1.0	0.999	9	49	49	49	2	3	3	2	7	4	6	6	1	2	2	3	3	3	1	1	2	3	3	2	7	4	6	6	1	2	2	3	3	3	1	1	2	3	3	2	7	4	6	6	1	2	2	3	3	3	1	1	39845.586	29040.58	38105.25	28101.098	45388.38	35225.62	43998.508	42694.848	13866.645	17308.062	12295.572	21856.129	13571.812	16740.75	24443.615	22669.244	14544.893	18379.12	14824.134	13726.545	14499.908	13707.952	14914.741	16091.152	9516.038	9955.828	8491.388	9052.32	6544.953	9624.651	8026.4663	8409.902	
contam_contam_sp|P00330|ADH1_YEAST	contam_contam_sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5	contam_contam_sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5		348			contam_contam_sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5	1.0	0.999	30	1471	995	1471	105	94	107	101	109	111	104	107	79	75	84	78	77	76	84	80	68	61	71	67	73	74	71	71	58	50	57	52	54	56	53	59	105	94	107	101	109	111	104	107	79	75	84	78	77	76	84	80	5727838.0	5682837.0	5133220.0	5819802.5	5722412.5	5656150.0	5752516.0	5772457.0	2939971.0	2821789.5	2936731.2	2928248.5	2921780.2	2817843.8	2550405.2	2953502.0	742626.94	746923.94	760781.9	743035.2	738713.56	723213.75	739293.56	733201.6	399248.9	395657.4	389644.16	397140.44	392393.25	388511.97	392588.22	393479.53	
contam_contam_sp|P00441|SODC_HUMAN	contam_contam_sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2	contam_contam_sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2		154			contam_contam_sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2	1.0	0.999	10	355	355	355	20	26	25	19	20	20	23	19	25	18	24	25	22	25	23	21	20	26	25	19	20	20	23	19	25	18	24	25	22	25	23	21	20	26	25	19	20	20	23	19	25	18	24	25	22	25	23	21	556187.8	525077.9	584948.25	578196.6	554816.5	566030.94	546302.1	582947.6	601683.4	596319.1	596236.9	614834.06	503099.72	582019.3	584955.4	584751.75	132838.78	137175.36	139805.19	137833.8	132811.4	133561.42	128219.336	136770.86	148482.08	145278.92	141843.52	148010.19	146485.3	144109.3	141476.98	142377.2	
contam_contam_sp|P00915|CAH1_HUMAN	contam_contam_sp|P00915|CAH1_HUMAN Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2	contam_contam_sp|P00915|CAH1_HUMAN Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2		261			contam_contam_sp|P00915|CAH1_HUMAN Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2	0.9391	0.999	1	5	5	5	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	5458.817	5548.7935	4180.6035	4678.7363	4551.824	5823.0176	5675.145	4044.658	4317.062	3931.126	5560.3843	5249.1934	5341.531	5244.8853	4503.616	5434.3174	5458.817	5548.7935	4180.6035	4678.7363	4551.824	5823.0176	5675.145	4044.658	4317.062	3931.126	5560.3843	5249.1934	5341.531	5244.8853	4503.616	5434.3174	
contam_contam_sp|P01008|ANT3_HUMAN	contam_contam_sp|P01008|ANT3_HUMAN Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1	contam_contam_sp|P01008|ANT3_HUMAN Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1		464			contam_contam_sp|P01008|ANT3_HUMAN Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1	0.9346	0.9989	1	5	5	5	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	6071.6396	6248.156	6347.977	0.0	6097.248	5764.395	5171.4136	0.0	6427.1187	6300.6567	5905.96	5841.236	5319.8213	6244.3115	6270.147	6481.841	6071.6396	6248.156	6347.977	0.0	6097.248	5764.395	5171.4136	0.0	6427.1187	6300.6567	5905.96	5841.236	5319.8213	6244.3115	6270.147	6481.841	
